quarter,lex,delve,emdash,burst,placebo,n,fastd
2011Q3,0.05128477,0.0,0.008417112,0.5421389,2.3171706,11581,0.10894918
2011Q4,0.04897671,0.0,0.0013583708,0.5475218,2.4410262,5008,0.08128378
2012Q1,0.03996732,0.0,0.026253633,0.5431967,2.3515897,3530,0.025364518
2012Q2,0.049136132,0.0,0.0,0.5376739,2.357556,2024,0.10181614
2012Q3,0.07505579,0.0,0.0034575157,0.5488617,2.2897484,2515,0.2402631
2012Q4,0.06188589,0.0,0.0,0.5391881,2.3691497,2644,0.11673852
2013Q1,0.086007416,0.0,0.028645536,0.54591554,2.5321267,2657,0.17999025
2013Q2,0.0987714,0.0021266642,0.0046649408,0.53251356,2.3803823,2766,0.14931181
2013Q3,0.049462542,0.0,0.0,0.5338747,2.356641,2188,0.0018113463
2013Q4,0.08211503,0.0,0.0,0.53692013,2.4391952,2263,0.09879938
2014Q1,0.018590784,0.0,0.0109831905,0.54239976,2.602064,3004,0.08139341
2014Q2,0.045069378,0.0023025558,0.0,0.5445123,2.2322202,2525,0.123468846
2014Q3,0.04986611,0.0,0.0,0.5397567,2.358549,2235,0.10209591
2014Q4,0.06552715,0.0,0.014815507,0.54147017,2.3510027,2146,0.12217432
2015Q1,0.072802395,0.0,0.0,0.54466015,2.236527,1638,0.031689722
2015Q3,-0.039927144,0.0,0.02656611,0.49177068,2.3674648,1800,0.15850739
2015Q4,-0.018621506,0.0,0.017818386,0.4857341,2.3202372,2293,0.15735805
2016Q1,-0.019470818,0.0023206163,0.019249037,0.49219772,2.387318,3192,0.10297182
2016Q2,0.022070339,0.0,0.009317843,0.4687438,1.9991486,8210,0.19352724
2016Q3,0.026616653,0.0022834544,0.0169781,0.4936331,2.0937088,3343,-0.050821345
2016Q4,0.01327171,0.0,0.016062127,0.49023485,2.3148632,2494,0.05018237
2017Q1,-0.029296054,0.0,0.026545258,0.4806359,2.3278556,5280,-0.05456984
2017Q2,0.0618877,0.0,0.048862133,0.521054,2.4806764,695,-0.062266327
2017Q3,0.018266005,0.0,0.03764697,0.5203593,2.1962566,793,0.16842894
2017Q4,-0.032064352,0.0,0.044459566,0.49370253,2.1660767,2316,-0.010995699
2018Q1,0.010034472,0.0,0.021227594,0.49878922,2.2606602,2462,0.043714836
2018Q2,0.0010400459,0.0,0.023502814,0.4945208,2.202994,2174,0.102613516
2018Q3,-0.031047825,0.0,0.0,0.49129575,2.2573678,1864,0.00044734398
2018Q4,-0.028546374,0.0,0.03180858,0.48960552,2.1257446,2203,0.071391344
2019Q1,-0.020406336,0.0015615899,0.028464762,0.4809394,2.4232402,4607,0.039487872
2019Q2,-0.029553479,0.009274304,0.035948288,0.4869937,2.1978946,3924,0.04071108
2019Q3,-0.010801036,0.002308685,0.0027060816,0.4774586,2.316718,3029,-0.13474688
2019Q4,0.015259981,0.0,0.0,0.48788178,2.5082946,821,0.15853308
2020Q1,0.08507155,0.0010840555,0.010037851,0.4795417,2.8374531,5557,-0.05394591
2020Q2,0.09076562,0.001054019,0.011256376,0.4897316,2.6012812,5634,0.06902553
2020Q3,0.10947862,0.002493579,0.017015984,0.49339327,2.788971,3370,0.19821562
2020Q4,0.11738331,0.0,0.016602024,0.50166583,2.9593816,4468,0.17128567
2021Q1,0.09268033,0.0,0.036683626,0.49767813,2.708525,5243,-0.062484626
2021Q2,0.07831751,0.0,0.023196664,0.5074864,2.6642277,2672,-0.019832546
2021Q3,0.02005979,0.0,0.010985932,0.49133962,2.6315377,2506,-0.041055564
2021Q4,0.13354805,0.0,0.006124985,0.4985577,2.644901,1906,0.2962042
2022Q1,-0.019458752,0.000847471,0.094807565,0.5719645,2.1049488,79616,0.17264062
2022Q2,-0.018395394,0.0010146411,0.09045627,0.5764359,2.05816,75446,0.15702887
2022Q3,-0.041622456,0.0013008328,0.08278928,0.57763916,1.903754,53863,0.14613725
2022Q4,0.006025924,0.0016046949,0.1449541,0.58673173,2.1615782,62469,0.20382635
2023Q1,0.07424663,0.0013034879,0.14180802,0.5742139,2.3365257,67379,0.32967553
2023Q2,0.5536949,0.0053662416,0.1494202,0.5493515,1.9688909,66761,0.604097
2023Q3,1.0106579,0.015899282,0.13734114,0.54794043,1.5961713,48492,0.5428638
2023Q4,1.6693524,0.015047176,0.13754424,0.4827493,1.6291237,70603,0.91151464
2024Q1,1.8241936,0.015303626,0.122131966,0.46878165,1.5348523,70361,0.8098161
2024Q2,1.7730397,0.016233927,0.20224646,0.47069633,1.5776433,66876,1.0252557
2024Q3,1.2409462,0.00657561,0.35253474,0.48493347,1.4662538,55711,1.0643942
2024Q4,1.289204,0.008681638,0.49682322,0.49116886,1.4963703,72419,0.62926364
2025Q1,0.6150747,0.0,0.33137465,0.4697477,2.9511135,2148,0.19444929
2025Q2,0.69246835,0.0,1.1822315,0.45144305,2.7005572,1717,0.078187995
2025Q3,0.56698537,0.0,0.91100854,0.4573779,2.7923288,2011,0.0063837133
2025Q4,0.25475648,0.0,0.8694636,0.45971563,2.6331897,2328,-0.018247517
2026Q1,0.22301029,0.0,0.36588532,0.46150145,2.5652454,2541,0.00844443
2026Q2,0.21488167,0.0,0.44087553,0.46403727,2.5972016,1758,-0.03159919
