source,n,first,last,n_post,median_sigs,en_share
bluehouse,398935,2017-08-19 00:00:00.000,2022-05-09 00:00:00.000,0,7.0,0.0
canada,2005,2015-12-04 00:00:00.000,2025-03-11 00:00:00.000,472,768.5,1.0
changeorg_au,32600,2022-01-01 23:03:03.000,2024-12-31 23:59:59.000,22112,4.0,1.0
changeorg_other,210588,2022-01-01 21:11:56.000,2024-12-31 23:28:55.000,147446,1.0,1.0
changeorg_treated,529865,2022-01-01 21:10:12.000,2024-12-31 23:57:47.000,357105,3.0,1.0
roi_ru,218,2010-03-18 00:00:00.000,2026-07-01 00:00:00.000,100,,0.0
scotland,404,2010-11-01 00:00:00.000,2026-07-16 00:00:00.000,339,,1.0
uk_2010,48740,2011-07-28 23:35:39.000,2015-03-30 06:35:44.000,0,2.0,1.0
uk_2015,26986,2015-07-20 08:02:12.106,2017-04-19 19:00:46.865,0,13.0,1.0
uk_2017,23741,2017-09-12 09:02:07.606,2019-11-02 19:27:35.210,0,14.0,1.0
uk_2019,44854,2020-03-02 12:06:20.235,2024-05-09 19:53:36.718,7369,14.0,1.0
uk_current,14379,2024-10-30 14:20:17.653,2026-07-15 21:39:58.377,14379,21.0,1.0
