ngram,z_post_vs_pre,count_pre,count_post
this petition,188.1956301214196,71971,350100
sign this petition,177.9239084136501,24879,186443
sign this,170.74466504914034,28872,191404
but also,148.4321822748976,6821,97269
please sign this,147.3079558488871,11991,111229
according to,139.74170680126736,10991,100749
please sign,132.38596168662423,22223,131018
not only,131.14963955957197,18758,118641
we urge,122.7632656951991,2061,65245
our community,121.69652096506465,8603,77287
of our,119.53446924141502,29970,144274
not just,115.24128207259125,7546,68763
well being,109.57176028746503,4359,54654
in our,108.57223823665181,24081,117049
we believe,105.44609435518997,8111,63458
petition if you,104.466632484772,2486,46594
petition if,104.34974938257965,2906,47117
this petition if,104.1705332673567,2301,46182
petition today,97.71199041508605,646,46724
by signing this,96.3391255057595,5776,49698
signing this petition,94.54606337820174,7940,55720
by signing,94.09187495282458,7418,53710
signing this,92.33955340799241,8692,56841
let us,91.68147119655652,4760,43477
according to the,91.19456882337147,4091,41043
is not just,89.63333628764968,911,35645
we believe that,88.63255711232995,3569,37854
this petition today,88.45482715048055,370,41277
it's time,88.30096960715716,3918,38740
ensure that,86.99943215180457,6784,47384
believe in,86.71800930282966,1994,32520
believe that,85.03063640048775,13091,66577
immediate action,84.6343686467763,854,31549
you believe,84.44803180000821,1310,30319
if you believe,81.98719297784247,816,29533
urge the,81.81667640736397,2371,30318
us in,80.08635948119316,3865,33934
is crucial,79.2820744988335,934,27008
access to,78.79340411095572,15071,68989
to address,78.76891059882153,3908,33380
together we,76.49915299122526,2346,27268
together we can,76.29261267615453,1532,25152
advocate for,76.12864427433989,1319,24747
join us,75.80153854339179,1741,25294
this petition to,75.79320417697897,14984,66983
we call,75.4439630700517,4858,34829
we can,72.78172336370397,31558,112783
your support,72.53660272456004,6332,38250
this issue,72.2287824806354,5995,37002
within our,72.02619679662125,1187,22159
lead to,71.73936707193555,6173,37347
join us in,71.73310998404091,933,21883
and ensure,70.58130052949122,1364,21625
our local,70.44259779399333,2360,24239
just about,69.87053181753008,617,21337
can lead,69.33960895890765,1818,22092
can lead to,68.5214351358539,1556,20989
commitment to,67.50927206132815,1644,20723
importance of,67.44843441474944,2274,22568
authorities to,67.4368509935448,1074,19465
