ngram,z_post_vs_pre,count_pre,count_post
the uk,-178.66193632417153,50400,30407
the government,-162.59572834392915,56091,44060
to be,-155.82581304878093,133927,168227
should be,-140.8689728818394,77155,84950
the eu,-123.06851118668199,16516,1832
of the,-115.3353635482311,277501,469726
to get,-105.82862685366392,39921,42284
want to,-103.48366217918516,42356,46953
have to,-101.41326605437935,36799,39043
able to,-97.25018091758703,36619,40226
in the uk,-96.77647317887579,18242,13401
to do,-96.22163291020688,32382,33998
in the,-93.93367595983544,223518,388605
the nhs,-91.4160102899376,10011,3984
would like,-89.78205719300828,18908,15919
needs to,-87.46952036706166,28203,30322
would be,-87.24733064038534,37930,45967
government should,-87.00224399535007,9061,3600
to have,-86.18849162008964,36284,43659
the people,-83.7850784979401,32100,37695
the british,-81.2274584535506,8866,4343
to pay,-81.20779581883642,17348,15691
need to,-80.84152098457187,51271,71392
they are,-80.5936469241524,52584,73822
the same,-78.66485528735357,37157,47916
yu gi,-78.654307744633,6604,831
yu gi oh,-78.64420325665765,6602,831
gi oh,-78.64420325665765,6602,831
will be,-78.13485532292943,47507,66007
be able,-77.64865402946303,20983,21976
if they,-77.43209235287277,18434,18171
be able to,-77.2481651801972,20777,21765
the government should,-76.1683264446559,6693,2434
the government to,-75.23829697473381,14365,12714
there is,-73.47987972126556,40506,55729
leave the,-73.33068490176693,6597,2759
of covid,-72.28653861298339,5395,1063
we want,-72.2118085235328,20878,23256
house of,-71.69192780390485,7292,3860
on the,-71.26638751836397,94078,156231
to leave,-71.12443441511667,9280,6479
the covid,-70.50763679875601,6993,3659
the pandemic,-70.45696540190261,6858,3499
like to,-70.45340012523401,15548,15472
or something,-70.39682261731662,5326,1522
they have,-69.71103033991105,25702,31796
this country,-69.5539143205157,8011,5077
to go,-69.0763573100327,18577,20450
lot of,-68.88155305786077,16728,17624
that would be,-67.85004511094317,5517,2197
and not,-67.1495153671246,15880,16722
do not,-66.21759754489206,33944,47092
of the uk,-65.8722777413087,4995,1806
people who,-65.83001934034864,20852,24950
allowed to,-65.49764855975603,13651,13692
to help,-64.99323777299026,27072,35610
general election,-64.79677241907316,5349,2401
do the,-64.63546745530897,8679,6705
we have,-63.7502854375208,37670,54675
going to,-63.193774088018976,16807,19106
