phrase,n_petitions
please sign this petition if you,39641
sign this petition if you believe,26261
this petition if you believe in,19556
please sign this petition today,19062
by signing this petition you are,16064
in the united states,15892
please sign this petition and,11809
this petition is to,10768
to be able to,10412
when it comes to,10241
by signing this petition we,9655
we urge you to,9574
the well being of,8882
i am a resident of,8537
sign this petition if you agree,8279
it is time for,7878
i would like to,7877
should be able to,7798
according to the national,7592
have the right to,7368
as a result of,7232
it is time to,7146
please sign the petition,6870
as well as the,6850
this is not just about,6701
thank you for your support,6656
for the sake of,6582
we are calling on,6454
we can ensure that,6394
together we can make a difference,6329
it is important to,6319
we can create a,6229
this petition aims to,6128
put an end to,6111
more than just a,6051
the rest of the,5939
of the united states,5845
well being of our,5796
we call on the,5777
in the u s,5723
we call upon the,5650
health and well being,5624
sign this petition to show your,5595
please join us in,5518
this petition to show your support,5494
sign this petition today and,5460
the end of the,5437
i am writing this petition,5385
want the government to,5356
this petition if you agree that,5323
at the end of,5252
sign this petition to urge,5242
the urgent need for,5139
is not just an,5094
please join me in,5083
the safety of our,5060
sign this petition today to,5037
not be able to,5023
we would like to,4998
by signing this petition you're,4985
sign this petition to help,4981
sign this petition now,4963
i am deeply concerned about the,4956
according to a report by,4921
it is crucial to,4896
and sign this petition,4806
according to data from the,4784
sign this petition to demand,4775
you to sign this petition,4772
a lot of people,4755
make a difference in,4674
studies have shown that,4669
by doing so we can,4629
is more than just,4620
to address this issue,4580
accountable for their actions,4524
according to the american,4504
as soon as possible,4455
will be able to,4444
sign this petition so,4432
due to lack of,4418
at the same time,4414
now is the time to act,4394
sign and share this petition,4328
petition to show your support for,4287
please sign this petition to support,4284
your signature can make a difference,4271
to join us in,4258
as a resident of,4209
according to a study by the,4194
let us stand together,4178
so that we can,4158
a crucial role in,4150
this petition if you believe that,4143
sign this petition if you support,4126
by signing this petition today,4090
the future of our,4075
please sign this petition to show,4074
it is imperative that,4068
there has been a,4060
