cluster,size,share_post_llm
changeorg_treated:chg35725111,111,1.0
changeorg_treated:chg37713140,104,0.8653846153846154
changeorg_other:chg490003465,71,0.9295774647887324
changeorg_treated:chg490350492,62,0.532258064516129
changeorg_other:chg490309170,53,1.0
changeorg_other:chg490265382,49,0.8367346938775511
changeorg_other:chg37949624,44,1.0
changeorg_other:chg490198925,35,0.9714285714285714
uk_2015:137789,35,0.0
changeorg_other:chg35083824,34,0.7058823529411765
changeorg_other:chg37897324,27,1.0
changeorg_treated:chg37814324,23,0.8260869565217391
changeorg_other:chg490316992,23,0.9565217391304348
changeorg_treated:chg37777792,22,0.36363636363636365
changeorg_other:chg37944367,22,1.0
changeorg_treated:chg490224959,19,1.0
changeorg_treated:chg37797110,19,1.0
changeorg_other:chg490252245,19,1.0
changeorg_other:chg36407267,18,0.5
changeorg_treated:chg490213486,18,0.7777777777777778
changeorg_treated:chg37612924,16,1.0
changeorg_other:chg490198351,16,1.0
changeorg_other:chg490284956,15,0.7333333333333333
changeorg_treated:chg33958541,14,0.07142857142857142
changeorg_treated:chg37417090,13,0.8461538461538461
changeorg_other:chg37776464,13,1.0
changeorg_other:chg37862310,12,1.0
changeorg_treated:chg490155093,12,1.0
changeorg_other:chg34190977,12,0.0
changeorg_other:chg490302198,12,1.0
changeorg_other:chg490271418,11,1.0
changeorg_treated:chg37873427,11,1.0
changeorg_treated:chg490013500,11,0.36363636363636365
changeorg_other:chg490050552,10,0.4
changeorg_treated:chg490024739,10,0.9
changeorg_other:chg37939568,10,1.0
changeorg_other:chg490060886,10,1.0
changeorg_other:chg490265459,9,0.8888888888888888
changeorg_other:chg490295011,9,0.7777777777777778
changeorg_treated:chg490033694,8,1.0
changeorg_other:chg490205177,8,0.375
changeorg_treated:chg490183538,8,0.875
changeorg_other:chg490339536,8,1.0
changeorg_treated:chg37921133,8,1.0
changeorg_treated:chg37737511,7,1.0
changeorg_other:chg37427093,7,1.0
changeorg_other:chg36588439,7,1.0
changeorg_other:chg490250167,7,1.0
changeorg_other:chg36633927,7,0.5714285714285714
changeorg_treated:chg37958913,6,1.0
