covariate,label,smd_raw,smd_weighted
log_n_words,,0.5802915084912672,-0.009426461852282443
topic_25,community city local council,0.2020185904149581,0.004361811743387328
topic_22,covid vaccine pandemic virus,-0.20122478334645758,-0.02742852839889181
topic_2,eu referendum leave brexit,-0.18258415787542626,-0.12057530123523492
topic_31,petition sign bring signing,0.15258320394938132,0.006434648840475215
topic_14,uk citizens british countries,-0.14763451314761805,0.004678810915497965
topic_10,ukraine war russia russian,-0.1039857257180089,0.0024354925078680072
topic_21,rights human right iran,0.10199658837470686,-6.09209593633378e-06
topic_37,government british country canada,-0.09739898192063455,0.0037801597108162717
topic_11,nhs staff workers patients,-0.09723294398394397,0.002917842940268794
topic_26,education schools teachers curriculum,0.09564202562874782,0.000920351507518714
topic_24,tax income council money,-0.08798440713690898,0.004041062059698332
topic_19,pay work wage workers,-0.08099973250921638,0.004032988927720321
topic_17,game games football play,0.08078910562931257,0.004854299203841789
topic_6,animals animal cruelty testing,0.080275807088717,0.0002539369096895665
topic_32,want don't don really,-0.07980496208561344,0.004951300942922188
topic_7,health mental issues services,0.0745373356689936,0.0013078716544846045
topic_35,vote voting referendum scotland,-0.07404480852117876,0.0031750465133513926
topic_12,election general prime minister,-0.07229554365939024,0.002496938933493491
topic_29,year years age old,-0.05761938077523379,0.004441955938640053
topic_30,help need save support,-0.057100211587042767,0.0039615634970913225
topic_5,law justice court abuse,0.047985880187244014,0.0029692672111861565
topic_33,police officers force officer,-0.04776484247038306,0.0034978932711141725
topic_8,people young country homeless,-0.046384471626526494,0.002172895195465438
topic_23,change climate earth world,0.04511794644373421,0.0011933983492168783
topic_9,plastic water waste use,0.04421227936831907,-0.0005956682028536872
topic_1,school high kids teachers,0.03960062322591506,0.004689824928102449
topic_0,like just make know,-0.032972662422999365,0.0009635843825118538
topic_39,free products bus travel,-0.030602484967720937,0.0034772313782049737
topic_27,day holiday bank time,-0.02863071027503711,0.003977583564659441
topic_38,johnny depp amber heard,-0.02764260127316883,0.003105674427541206
topic_13,park parking car parks,0.024046677462362973,0.002906713209695628
topic_16,road speed traffic roads,0.017782815163527133,0.0038641242519013037
topic_34,food energy prices gas,-0.014864148330492374,0.002643950993771126
topic_3,students student university exams,0.012068974158425668,0.0020723942545780925
topic_20,dog dogs owners pet,0.009789610454966553,0.001593971807687297
topic_36,public bbc media transport,0.0074476421091547096,0.004388893362014514
topic_18,women men gender abortion,0.00636179596242633,0.0014425135337059114
topic_15,family care home life,-0.005047174080481576,0.0016794894754556754
topic_28,stop bullying money needs,0.0010661247915839027,0.0032993240809785123
topic_4,children child parents parent,-0.0009591787967571303,0.003613991260702503
