source,metric,value,sd
uk_2019,probe_auc_stylometric_char,0.8076155555555555,0.0106930382336671
uk_2019,within_pre_cos,0.19098707471647766,
uk_2019,within_post_cos,0.17109121358683566,
uk_2019,cross_era_cos,0.17234272222222222,
uk_2019,centroid_shift_d,0.15028661489486694,
uk_2019,probe_auc_semantic,0.7726622222222221,0.016806228416282012
changeorg_au,probe_auc_stylometric_char,0.7374466666666667,0.017326769982448885
changeorg_au,within_pre_cos,0.1190332721814543,
changeorg_au,within_post_cos,0.14274801256393152,
changeorg_au,cross_era_cos,0.12829495833333332,
changeorg_au,centroid_shift_d,0.08550678938627243,
changeorg_au,probe_auc_semantic,0.6713355555555556,0.024776627178068236
changeorg_au,probe_auc_semantic_within_topic_mean,0.6174758992734078,0.02701817101767758
changeorg_treated,probe_auc_stylometric_char,0.7516844444444445,0.027903821234844816
changeorg_treated,within_pre_cos,0.1021063486768957,
changeorg_treated,within_post_cos,0.12489909939959973,
changeorg_treated,cross_era_cos,0.11083211805555555,
changeorg_treated,centroid_shift_d,0.08580976724624634,
changeorg_treated,probe_auc_semantic,0.6956022222222222,0.02578439800047524
changeorg_treated,probe_auc_semantic_within_topic_mean,0.6666090348381207,0.028583371967229314
