ev,coef,lo,hi
-10,0.045345566602850676,-0.010634646927064194,0.10132578013276555
-9,0.05249638485688429,-0.006079332226540252,0.11107210194030884
-8,0.06077289132697786,-0.0038458027276628975,0.1253915853816186
-7,0.040865011753487605,-0.01221577290911894,0.09394579641609416
-6,0.036556148343288526,-0.038539458419532054,0.11165175510610911
-5,-0.003546261047774784,-0.059534315712339594,0.05244179361679002
-4,0.07765327065868399,0.007638287569972146,0.14766825374739584
-3,0.05702131231173358,-0.002593714691759154,0.11663633931522632
-2,0.02677237071156939,-0.037519865829621024,0.0910646072527598
-1,0.0,0.0,0.0
0,0.04877055382827312,-0.03481934075647367,0.13236044841301992
1,0.08990495649718197,-0.024896915281744578,0.20470682827610853
2,0.11177956851986078,0.02663224642768036,0.1969268906120412
3,0.21019032881070418,0.14480415578891975,0.2755765018324886
4,0.2467615323833351,0.1419206286168499,0.3516024361498203
5,0.33413325342421235,0.21840424800573777,0.44986225884268694
6,0.2734342488559597,0.13679581403867835,0.410072683673241
