word,pre_share_recent,post_share,counterfactual,delta,ratio,banned,selected
petition,0.33414917775075187,0.5644911920539929,0.33414917775075187,0.23034201430324103,1.6893388631201645,True,False
sign,0.2255773086396008,0.4455122033312695,0.2255773086396008,0.21993489469166871,1.9749867839901094,True,False
our,0.3586579148659787,0.5429782060672277,0.3586579148659787,0.184320291201249,1.5139166976703269,False,False
urge,0.018047036567134106,0.15497386337791363,0.018047036567134106,0.13692682681077953,8.587219447437718,False,True
this,0.6738245018254063,0.8024753245331768,0.6738245018254063,0.1286508227077705,1.1909263055280008,False,False
these,0.21177831385624046,0.3309247346634545,0.21177831385624046,0.11914642080721405,1.5625997234452114,False,False
please,0.2479434559043577,0.36695512716320916,0.2479434559043577,0.11901167125885145,1.4799952102981064,False,False
that,0.5979171944501626,0.7142322355102027,0.5979171944501626,0.11631504106004009,1.1945336948655607,False,False
also,0.1895604395821824,0.30226727584864066,0.1895604395821824,0.11270683626645825,1.5945693970476107,False,False
their,0.3475838086558025,0.45474049655587895,0.3475838086558025,0.10715668790007643,1.3082902172988995,False,False
with,0.49236603165871523,0.5989182243790692,0.49236603165871523,0.10655219272035393,1.2164084966653648,False,False
ensure,0.04229966903333129,0.14558146568731,0.04229966903333129,0.10328179665397871,3.4416691433825344,False,True
community,0.17330215216937128,0.2750946017959961,0.17330215216937128,0.10179244962662481,1.5873697951952797,True,False
support,0.16624051006928375,0.26563436033541177,0.16624051006928375,0.09939385026612801,1.5978918749990831,True,False
for,0.7136819642007451,0.811632577986536,0.7136819642007451,0.09795061378579084,1.1372468672309606,False,False
believe,0.0832169974518135,0.18088670169178322,0.0832169974518135,0.09766970423996972,2.1736749369805732,False,True
not,0.4810455763823727,0.578233957740697,0.4810455763823727,0.09718838135832425,1.2020357033302627,False,False
but,0.311064971220907,0.40799896162716115,0.311064971220907,0.09693399040625417,1.3116197559172138,False,False
significant,0.031732216383125976,0.12593456429035396,0.031732216383125976,0.09420234790722798,3.968665874764466,False,True
according,0.018179675061207767,0.11152772809351313,0.018179675061207767,0.09334805303230537,6.134748157930155,False,True
only,0.22000995533495626,0.31199392064659914,0.22000995533495626,0.09198396531164288,1.4180900140250519,False,False
let,0.1357991531151714,0.2255554786653542,0.1357991531151714,0.08975632555018279,1.6609490817226258,True,False
can,0.35709189590358853,0.44394465526778104,0.35709189590358853,0.08685275936419251,1.2432224319860845,False,False
action,0.060037031826660446,0.14362305702671813,0.060037031826660446,0.08358602520005767,2.392241132795974,True,False
from,0.4069267649562105,0.4892611691390705,0.4069267649562105,0.08233440418285998,1.2023322407699577,False,False
its,0.11605216595995264,0.19697185219478003,0.11605216595995264,0.08091968623482738,1.697269935166494,False,False
just,0.17869146391791316,0.25778116904190695,0.17869146391791316,0.0790897051239938,1.442604830638837,True,False
call,0.060101966352344355,0.13903738512215644,0.060101966352344355,0.07893541876981208,2.3133583401757223,False,True
such,0.11873741295575037,0.19337193178513415,0.11873741295575037,0.07463451882938378,1.6285678369731509,False,False
local,0.09376768885590547,0.16793664891291096,0.09376768885590547,0.07416896005700549,1.7909863297471509,True,False
are,0.5485013610886976,0.621522631047233,0.5485013610886976,0.07302126995853542,1.1331286941815395,False,False
who,0.26739288049372517,0.3401762037126636,0.26739288049372517,0.07278332321893843,1.2721961896836906,False,False
together,0.05601926822772237,0.12820170199982991,0.05601926822772237,0.07218243377210753,2.288528680501158,False,True
more,0.28016478591912364,0.35012905870512645,0.28016478591912364,0.06996427278600281,1.2497254341100517,False,False
demand,0.03718425506739129,0.10601511035625756,0.03718425506739129,0.06883085528886626,2.851075278074548,False,True
individuals,0.01767085709453105,0.08441344274395654,0.01767085709453105,0.06674258564942549,4.7769863279626446,False,True
immediate,0.01589020248285092,0.080937182883449,0.01589020248285092,0.06504698040059809,5.093527472088433,False,True
australia,0.20418359123431165,0.2691377718350451,0.20418359123431165,0.06495418060073346,1.3181165548518297,False,False
today,0.04051391192094498,0.10531530077526383,0.04051391192094498,0.06480138885431885,2.5994848628976177,False,True
environment,0.04520130680583299,0.1097055486616349,0.04520130680583299,0.06450424185580192,2.427043738644255,True,False
time,0.23587526111495813,0.29982643789911734,0.23587526111495813,0.06395117678415921,1.2711228658820284,True,False
deeply,0.007254002454104385,0.07050585124654984,0.007254002454104385,0.06325184879244546,9.719579183028392,False,True
however,0.07243764571985169,0.13536649788390898,0.07243764571985169,0.06292885216405729,1.86873132800907,False,True
crucial,0.008112659754622498,0.0699320198086616,0.008112659754622498,0.061819360054039096,8.62011004083034,False,True
about,0.183518012627483,0.24470861417423703,0.183518012627483,0.06119060154675404,1.3334310385703816,False,False
safety,0.05373106543906062,0.11462788133865115,0.05373106543906062,0.06089681589959053,2.1333632676362426,True,False
towards,0.03029706775355201,0.09088533603692553,0.03029706775355201,0.06058826828337352,2.9998063435122426,False,True
personal,0.02268156722019905,0.08277282620428593,0.02268156722019905,0.060091258984086876,3.6493433368472292,False,True
future,0.07054340827328046,0.13052781977297284,0.07054340827328046,0.059984411499692386,1.850319157635775,True,False
while,0.07793737461513045,0.1375799392519753,0.07793737461513045,0.059642564636844836,1.76526268598822,False,False
your,0.18918530003595876,0.2485497671532127,0.18918530003595876,0.05936446711725393,1.313790062472985,False,False
australian,0.12302973105206495,0.18225581364736643,0.12302973105206495,0.059226082595301474,1.4813965054531217,False,False
