source,lang,ptype,score,d,ci_lo,ci_hi,n_pre,n_post
canada,en,government,lex,0.0011014355700041905,-0.10891583979350104,0.13460594183976884,1533,472
canada,en,government,placebo,-0.20555475384793848,-0.3445610261733819,-0.06699585278830239,1533,472
changeorg_au,en,commercial,lex,0.2870796090361048,0.2511843696074365,0.3182236724186855,10488,22112
changeorg_au,en,commercial,placebo,0.05124226454406537,0.02144806837057953,0.08094371347965469,10488,22112
changeorg_other,en,commercial,lex,0.4575231844166102,0.4488281190051592,0.4653915903957469,63142,147446
changeorg_other,en,commercial,placebo,0.02720068598146357,0.016993822864202927,0.03824161344216137,63142,147446
changeorg_treated,en,commercial,lex,0.39195335633986816,0.38561522569886497,0.39797607982024,172760,357105
changeorg_treated,en,commercial,placebo,-0.002464971717786474,-0.009425732013516024,0.004545338271377976,172760,357105
uk_2019,en,government,lex,0.11162448383494972,0.08291289436757253,0.1386334751372643,37483,7369
uk_2019,en,government,placebo,-0.006223002613902196,-0.03552596128138979,0.018773016502992314,37483,7369
