source,quarter,n,var_lex,mean_mtld,mean_burst,mean_cos
canada,2016Q1,52,1.2096289455986136,81.45966,1.083241,0.3442202376743967
canada,2016Q2,61,0.46364162132756676,84.502945,1.0330702,0.28621032381318307
canada,2016Q3,51,1.3118312593676986,84.80694,1.0556701,0.3340300675934436
canada,2016Q4,35,0.37816654731631255,78.18689,1.0371892,0.2992766564633666
canada,2017Q1,65,0.9109097758725689,84.74889,1.0359094,0.35497430654672474
canada,2017Q2,53,0.6931500277197423,88.37722,1.0155308,0.3088311803012178
canada,2017Q3,53,0.5035416444838113,83.45185,1.0440627,0.32611163710994195
canada,2017Q4,47,1.0314410350756988,81.18558,1.0673789,0.32206241914676803
canada,2018Q1,71,0.3415117484180423,85.047066,1.0823191,0.3004197302958375
canada,2018Q2,60,1.5630408965582112,86.67222,1.0977062,0.29478577004987644
canada,2018Q3,35,1.140012343452252,86.02075,1.067639,0.2676422119140625
canada,2018Q4,44,0.296791109655247,79.15933,1.1236068,0.2928253560943281
canada,2019Q1,60,0.8975900833457463,83.347885,1.09779,0.2992696815964866
canada,2019Q2,50,0.3348134759405685,85.39787,1.1222969,0.30808890206473216
canada,2020Q1,53,1.3716037357479605,82.13183,0.9687333,0.2714733682972945
canada,2020Q2,76,1.222186943683984,89.126205,0.9608102,0.36498740748355263
canada,2020Q3,73,0.5154699151411708,86.36175,0.9467602,0.3141930752874691
canada,2020Q4,93,0.9791827945712184,82.594955,0.96665496,0.29480322881968796
canada,2021Q1,109,0.9542714595797939,87.76308,1.0471094,0.3204299662334353
canada,2021Q2,91,0.8468990841859719,82.530426,1.1220797,0.293369629502442
canada,2021Q4,50,2.1440324068548393,74.14904,0.98302734,0.32001826072225764
canada,2022Q1,87,1.0569298746197249,81.65331,1.0177277,0.33075331315991713
canada,2022Q2,58,1.2462959133079488,82.203995,0.9766592,0.29176325950922566
canada,2022Q4,36,0.5667949480261737,79.14719,0.9350417,0.3331302703373016
canada,2023Q1,64,0.7262224040525311,86.23572,0.9143475,0.2933744097512866
canada,2023Q2,54,0.7054982633311689,89.77725,0.8993375,0.3105716558705669
canada,2023Q3,43,1.251037698916703,82.732994,0.87138313,0.3298844414559974
canada,2023Q4,56,0.6644855796593389,79.987976,0.9358874,0.28454001290457587
canada,2024Q1,49,0.8535183243610889,80.65595,0.92260355,0.3181902827048788
canada,2024Q2,78,1.2123940958213093,83.57869,0.96751374,0.3104614095214681
canada,2024Q3,48,0.6372679803392636,90.190765,1.0240397,0.29055217986411236
canada,2024Q4,56,0.5727187869832779,95.47059,1.085136,0.3305374740006088
changeorg_au,2022Q1,2957,0.5530001862709805,77.19191,0.5719355,0.12840744248586683
changeorg_au,2022Q2,3013,0.8574173390886702,76.24264,0.5658315,0.10984075651695979
changeorg_au,2022Q3,2704,1.2170165052026216,75.99715,0.5697525,0.10809540868404523
