sample,outcome,term,coef,se,p,n
gov_en_only,lex_score_v6,post_chatgpt,0.03967574754591601,0.05053905481235647,0.43242352778617343,146303
gov_en_only,lex_score_v6,post_gpt4,0.12134600072702185,0.05473916496833503,0.02663648698104637,146303
gov_en_only,PLACEBO placebo_z_v6,post_chatgpt,-0.07773342592077821,0.02938114103015452,0.00815242031219587,146303
gov_en_only,PLACEBO placebo_z_v6,post_gpt4,0.03937472025525394,0.03211282912466788,0.22014721456332442,146303
changeorg_only,lex_score_v6,post_chatgpt,-0.35009202257509503,0.06675759654367314,1.5693847473345978e-07,773053
changeorg_only,lex_score_v6,post_gpt4,0.15922060053731085,0.07161600962957418,0.026198657980817074,773053
changeorg_only,lex_score_v6,post_gpt4o_free,-0.4619608444239325,0.09410043184693036,9.143379247514323e-07,773053
changeorg_only,PLACEBO placebo_z_v6,post_chatgpt,0.07027719132392968,0.02903467108304703,0.015500985366363339,773053
changeorg_only,PLACEBO placebo_z_v6,post_gpt4,-0.01916487519891962,0.04869843984114656,0.693919303883684,773053
changeorg_only,PLACEBO placebo_z_v6,post_gpt4o_free,0.03874006452632716,0.018024962260510292,0.031614964000550014,773053
all_en_source_anchored,lex_score_v6,post_chatgpt,0.010077500157595247,0.03234544920319381,0.7553760652722092,919356
all_en_source_anchored,lex_score_v6,post_gpt4,0.556514534263791,0.06711960839753044,1.119370447162623e-16,919356
all_en_source_anchored,lex_score_v6,post_gpt4o_free,0.10630816753973939,0.08423031327655853,0.2069081530185476,919356
all_en_source_anchored,PLACEBO placebo_z_v6,post_chatgpt,0.029954475617861263,0.030813064062432165,0.33098310816503107,919356
all_en_source_anchored,PLACEBO placebo_z_v6,post_gpt4,-0.056817565383465475,0.037789909338027235,0.13270717928992726,919356
all_en_source_anchored,PLACEBO placebo_z_v6,post_gpt4o_free,-0.017537535166980738,0.010178078623262692,0.0848759873746537,919356
uk_2019_only,lex_score_v6,post_chatgpt,0.03230767398492594,0.05233913775767032,0.5370529413353318,44852
uk_2019_only,lex_score_v6,post_gpt4,0.14389730502460293,0.056423773092800396,0.010763159085239737,44852
uk_2019_only,PLACEBO placebo_z_v6,post_chatgpt,-0.06867646955602902,0.034684057040340326,0.04769693102099299,44852
uk_2019_only,PLACEBO placebo_z_v6,post_gpt4,0.049922031143601484,0.035313670491137816,0.1574575318571203,44852
gov_en_only,"VERDICT: PASS (anchor=post_gpt4, placebo p=0.220, ratio=0.32, same_sign=True)",,,,,146303
changeorg_only,"VERDICT: PASS (anchor=post_gpt4o_free, placebo p=0.032, ratio=0.08, same_sign=False)",,,,,773053
all_en_source_anchored,"VERDICT: PASS (anchor=post_gpt4, placebo p=0.133, ratio=0.10, same_sign=False)",,,,,919356
uk_2019_only,"VERDICT: PASS (anchor=post_gpt4, placebo p=0.157, ratio=0.35, same_sign=True)",,,,,44852
