marker,pre_per_1k,post_per_1k,delta,cohen_d,ci_lo,ci_hi,p_boot,pro_risk,q_fdr,sig_fdr05,contrib_share
urge_the,0.030532464385032654,0.11767471581697464,0.08714225143194199,0.10306484942040174,0.07837146541119253,0.12836349173556239,0.0025,True,0.024166666666666666,True,0.21791763402654943
foster,0.019287865608930588,0.09996088594198227,0.08067302033305168,0.0883694723854581,0.06363088555710397,0.1105560066330891,0.0025,False,0.024166666666666666,True,0.20173995314413418
crucial,0.072795569896698,0.13679294288158417,0.06399737298488617,0.060789953361077974,0.03363514076426173,0.08926846525920146,0.0025,True,0.024166666666666666,True,0.1600389693359362
plays_role,0.006226076278835535,0.02505333721637726,0.018827260937541723,0.040232682780642064,0.010148012480917002,0.061927978122726414,0.015,False,0.0725,False,0.04708154874692265
pivotal,0.006207113154232502,0.023840583860874176,0.017633470706641674,0.03840973597031322,0.005941014612991884,0.06237383798191748,0.025,False,0.10357142857142858,False,0.044096223736758984
ensure_that,0.30442529916763306,0.37397974729537964,0.06955444812774658,0.03467304526202253,0.004249527859862245,0.062493399745835725,0.005,True,0.028999999999999998,True,0.1739356112902202
not_only_but_also,0.04826604202389717,0.07056984305381775,0.022303801029920578,0.029958088796190864,-0.0012448288459447835,0.05750979779194855,0.075,False,0.24166666666666664,False,0.05577537268514539
underscore,0.0,0.003092771163210273,0.003092771163210273,0.02783885455414616,0.0,0.04645583965764732,0.3,False,0.5316666666666667,False,0.0077341285472603515
landscape_fig,0.0,0.002560263965278864,0.002560263965278864,0.022729721969161582,0.0,0.036140007268473315,0.24,False,0.5316666666666667,False,0.006402481650737953
leverage,0.007307561580091715,0.013826079666614532,0.006518518086522818,0.02036582211639113,-0.011417426046383936,0.04728151298899347,0.22,True,0.5316666666666666,False,0.01630093342130059
harness,0.0023475131019949913,0.00572159793227911,0.0033740848302841187,0.018154557966162235,-0.02167203175367371,0.04239306240531237,0.33,False,0.5316666666666667,False,0.008437612881675818
meticulous,0.0004721362784039229,0.0023645791225135326,0.0018924428441096097,0.01703761090188579,-0.014430814796807136,0.03881421247156311,0.685,False,0.8636956521739131,False,0.004732453664465184
testament_to,0.0004490120627451688,0.0024551404640078545,0.0020061284012626857,0.016441508974546232,-0.012729615036476585,0.031763530962676347,0.315,False,0.5316666666666667,False,0.005016748449494199
additionally,0.02524031326174736,0.03320943936705589,0.007969126105308533,0.01526703025584832,-0.010805069259390343,0.041890392869066005,0.26,False,0.5316666666666667,False,0.019928485638041372
holistic,0.005845812149345875,0.009867222048342228,0.004021409898996353,0.013310757222327416,-0.012783505393175604,0.03901883875449043,0.35,True,0.5342105263157894,False,0.010056386152986282
stakeholders,0.00649282755330205,0.008747213520109653,0.002254385966807604,0.008569271955517856,-0.014501592961764382,0.030271949306961865,0.475,True,0.6559523809523808,False,0.0056375690092543675
imperative,0.03558636084198952,0.039610642939805984,0.004024282097816467,0.006207716443178291,-0.020201886305271855,0.030781452239194873,0.72,True,0.87,False,0.010063568693729126
robust,0.01624917984008789,0.017914362251758575,0.0016651824116706848,0.00402081435403457,-0.029978146384486294,0.035357700702950114,0.81,True,0.9396000000000001,False,0.004164140877830112
realm,0.004877214785665274,0.005253178998827934,0.0003759642131626606,0.0014765958411541338,-0.019969374018796088,0.019368212879038612,0.915,False,1.0,False,0.0009401780475576413
in_todays,0.0,0.0,0.0,0.0,0.0,0.0,2.0,False,1.0,False,0.0
tapestry,0.0,0.0,0.0,0.0,0.0,0.0,2.0,False,1.0,False,0.0
navigate_fig,0.0,0.0,0.0,0.0,0.0,0.0,2.0,False,1.0,False,0.0
important_to_note,0.0010449374094605446,0.0006723788101226091,-0.00037255859933793545,-0.004307290698984971,-0.016217562084584,0.011106912960403828,0.505,False,0.6656818181818182,False,0.0
in_conclusion,0.0011394843459129333,0.0004018117324449122,-0.0007376726134680212,-0.009278178828026402,-0.02146391956161974,0.009321069160372054,0.295,False,0.5316666666666667,False,0.0
moreover,0.015094089321792126,0.011774875223636627,-0.0033192140981554985,-0.009887080662619032,-0.03367367387332643,0.01995510133834629,0.43,False,0.6235,False,0.0
delve,0.0005271529080346227,0.0,-0.0005271529080346227,-0.012423927868008807,-0.0179222018916002,0.0,0.115,False,0.30318181818181816,False,0.0
paradigm,0.000568599090911448,0.0,-0.000568599090911448,-0.012555497549387389,-0.01919453036150514,0.0,0.09,False,0.261,False,0.0
commendable,0.0006202441290952265,0.0,-0.0006202441290952265,-0.012667363405328924,-0.019342070727149257,0.0,0.07,False,0.24166666666666664,False,0.0
furthermore,0.05215189605951309,0.029921017587184906,-0.022230878472328186,-0.03685638579661604,-0.06082917893232876,-0.012505506096793642,0.005,False,0.028999999999999998,True,0.0
