cc,pre,post
US,170612,312849
PH,22151,81846
GB,39301,75246
CA,15673,30251
AU,13677,26126
IN,20374,21897
PK,4450,10061
ZA,5983,5796
NG,3846,5455
NZ,2292,4443
IE,2333,4398
MY,3185,3353
NL,1883,2633
EG,1014,2382
GR,347,2365
SG,1464,2044
IQ,315,1882
SE,951,1530
BD,179,1386
KE,1283,1370
PL,677,1302
ET,913,1230
RO,618,1109
SA,668,1059
NO,507,970
BE,510,932
GH,645,835
KR,333,747
IL,466,725
CZ,312,708
IR,1404,705
DE,590,693
HK,625,691
CH,348,666
FI,391,605
DK,380,593
TW,120,549
HU,263,503
FR,373,474
NP,237,470
RS,275,465
LB,303,464
LK,762,454
SO,57,398
KW,339,397
TT,297,392
UG,315,378
AE,240,377
QA,227,374
LT,154,368
PT,235,355
HR,120,350
MM,305,343
BG,191,329
GE,260,328
ZW,295,325
JM,236,317
MT,174,315
IT,258,306
JO,233,306
nan,240,302
AL,158,273
ES,227,265
AF,204,255
SK,114,254
LV,115,248
CY,142,234
JP,162,230
ZM,278,220
VN,78,209
OM,134,207
MX,156,200
RU,209,199
BA,84,199
BR,165,198
TR,181,193
SY,35,189
BH,96,188
MK,93,178
UA,357,177
SI,98,173
EE,83,168
ID,136,158
MW,87,158
PS,101,139
MV,60,128
MD,42,127
MU,51,125
AQ,75,124
TH,73,122
BW,96,120
KH,76,112
CN,80,109
BS,101,109
AR,50,107
IS,64,106
IM,74,102
MZ,20,100
MN,65,98
AT,92,95
VI,76,94
KP,46,94
FJ,26,90
SD,92,90
GY,36,87
SL,36,81
ME,29,80
BB,69,75
GU,52,70
MA,36,70
YE,31,66
TZ,88,66
XK,21,63
CO,36,60
PG,55,59
UM,26,56
AM,21,55
JE,36,55
RW,60,54
LY,39,53
GG,31,51
PE,18,48
UZ,26,46
LR,35,45
GM,68,43
MP,17,41
BZ,20,40
LC,23,39
KY,22,37
LS,24,37
VA,27,36
GI,23,36
CL,26,36
TN,20,35
TD,23,35
CW,7,35
PR,21,34
UY,16,33
NE,17,33
VU,9,31
CR,24,30
AS,20,29
TV,7,28
BM,34,28
BT,9,27
AZ,14,26
AW,18,26
TG,7,26
CM,27,25
LA,8,25
DO,15,25
PA,14,23
MO,16,23
VC,3,23
GS,12,22
SZ,19,22
SS,71,21
GT,8,21
HM,10,21
SX,12,21
VE,15,20
VG,15,20
TJ,4,19
TC,13,19
AG,16,19
KN,7,18
AO,160,18
GL,11,17
EC,9,17
HT,4,16
SV,11,16
SN,4,15
BY,10,15
SR,13,15
AX,7,15
DM,9,14
AC,13,14
CX,3,14
DZ,6,14
HN,7,14
WS,4,14
TL,7,13
LU,12,13
CU,9,12
ER,21,11
CI,0,10
BJ,5,10
CV,8,10
AI,0,10
KG,9,9
BO,6,9
KI,2,9
MG,6,9
BF,4,9
RE,3,9
SJ,4,9
FM,9,9
GD,11,9
TM,5,8
BN,11,8
TA,4,8
NI,5,8
EH,5,8
UN,3,8
TO,9,8
WF,4,7
NF,4,7
SC,13,7
IC,0,7
IO,3,7
KZ,6,7
ZZ,2,6
TK,4,6
MH,2,6
MC,4,5
AD,2,5
BQ,8,5
CD,6,5
NC,4,5
ST,3,5
PF,1,5
PW,8,5
LI,2,5
MF,1,4
GW,1,4
FO,1,4
TF,0,4
PY,2,4
DJ,3,4
EU,2,4
SM,0,4
SB,8,4
GP,2,3
PN,0,3
SH,4,3
YT,0,3
BI,0,3
CK,3,3
FK,1,2
GN,1,2
ML,4,2
MS,1,2
PM,1,2
NU,6,2
BV,1,2
CC,3,2
GA,0,2
KV,0,1
BL,0,1
MR,1,1
GQ,2,1
EA,0,1
MQ,0,1
GF,1,1
DG,0,1
AP,3,0
CF,2,0
CG,1,0
