source,rejection_code,bucket,n
uk_2019,duplicate,duplicate,16095
uk_2010,duplicate,duplicate,11509
uk_2015,duplicate,duplicate,9693
uk_2017,duplicate,duplicate,7412
uk_2019,irrelevant,out_of_scope,7365
uk_2010,irrelevant,out_of_scope,6146
uk_2019,no-action,out_of_scope,5462
uk_2017,no-action,out_of_scope,4195
uk_2015,irrelevant,out_of_scope,3764
uk_2017,irrelevant,out_of_scope,3706
uk_2010,no-action,out_of_scope,2874
uk_2015,no-action,out_of_scope,2737
uk_2019,already-happening,other,1771
uk_2019,honours,honours,925
uk_2010,honours,honours,785
uk_2017,honours,honours,725
uk_2015,honours,honours,517
uk_2019,fake-name,offensive_joke,257
uk_2015,fake-name,offensive_joke,218
uk_2017,fake-name,offensive_joke,158
uk_2019,local,other,74
uk_2019,foi,foi,16
uk_2019,operational,other,5
uk_2017,foi,foi,3
uk_2015,foi,foi,2
