source,q,n_petitions,total_sigs,median_sigs,country,iso3,year,internet_pct,internet_users
bluehouse,2017Q3,13115,1162018.0,1.0,,,2017,,
bluehouse,2017Q4,34925,3987258.0,2.0,,,2017,,
bluehouse,2018Q1,70641,6338860.0,5.0,,,2018,,
bluehouse,2018Q2,67025,8706701.0,7.0,,,2018,,
bluehouse,2018Q3,71456,6995560.0,8.0,,,2018,,
bluehouse,2018Q4,62102,7678338.0,9.0,,,2018,,
bluehouse,2019Q1,54050,5488829.0,7.0,,,2019,,
bluehouse,2019Q2,1747,7074123.0,648.0,,,2019,,
bluehouse,2019Q3,1728,6146756.0,694.5,,,2019,,
bluehouse,2019Q4,1331,5371455.0,629.0,,,2019,,
bluehouse,2020Q1,3214,13190127.0,775.0,,,2020,,
bluehouse,2020Q2,2668,9807002.0,743.0,,,2020,,
bluehouse,2020Q3,2891,11197984.0,761.0,,,2020,,
bluehouse,2020Q4,2011,9225038.0,776.0,,,2020,,
bluehouse,2021Q1,2061,8051900.0,743.0,,,2021,,
bluehouse,2021Q2,2137,8574575.0,714.0,,,2021,,
bluehouse,2021Q3,1989,6640870.0,651.0,,,2021,,
bluehouse,2021Q4,1955,6623147.0,669.0,,,2021,,
bluehouse,2022Q1,1554,6286476.0,641.0,,,2022,,
bluehouse,2022Q2,335,1109784.0,427.0,,,2022,,
canada,2015Q4,7,29320.0,2406.0,CA,CAN,2015,90.0,32134048.2
canada,2016Q1,52,187735.0,991.0,CA,CAN,2016,91.16000366,32918609.33645539
canada,2016Q2,61,196758.0,867.0,CA,CAN,2016,91.16000366,32918609.33645539
canada,2016Q3,51,110535.0,865.0,CA,CAN,2016,91.16000366,32918609.33645539
canada,2016Q4,35,185467.0,681.0,CA,CAN,2016,91.16000366,32918609.33645539
canada,2017Q1,65,228791.0,1027.0,CA,CAN,2017,92.70140076,33877796.43379257
canada,2017Q2,53,81591.0,601.0,CA,CAN,2017,92.70140076,33877796.43379257
canada,2017Q3,53,150309.0,846.0,CA,CAN,2017,92.70140076,33877796.43379257
canada,2017Q4,47,75706.0,605.0,CA,CAN,2017,92.70140076,33877796.43379257
canada,2018Q1,71,227981.0,635.0,CA,CAN,2018,94.64,35085527.568
canada,2018Q2,60,96334.0,539.5,CA,CAN,2018,94.64,35085527.568
canada,2018Q3,35,78847.0,823.0,CA,CAN,2018,94.64,35085527.568
canada,2018Q4,44,214824.0,799.0,CA,CAN,2018,94.64,35085527.568
canada,2019Q1,60,128835.0,759.0,CA,CAN,2019,91.91290283,34576250.75545841
canada,2019Q2,50,82012.0,661.5,CA,CAN,2019,91.91290283,34576250.75545841
canada,2019Q3,9,17220.0,535.5,CA,CAN,2019,91.91290283,34576250.75545841
canada,2019Q4,22,212561.0,805.5,CA,CAN,2019,91.91290283,34576250.75545841
canada,2020Q1,53,77530.0,682.0,CA,CAN,2020,92.3,35100432.874
canada,2020Q2,76,489630.0,1023.0,CA,CAN,2020,92.3,35100432.874
canada,2020Q3,73,115524.0,768.0,CA,CAN,2020,92.3,35100432.874
canada,2020Q4,93,637057.0,1156.0,CA,CAN,2020,92.3,35100432.874
canada,2021Q1,109,524693.0,723.0,CA,CAN,2021,93.93710327,35921420.53598756
canada,2021Q2,91,236781.0,795.0,CA,CAN,2021,93.93710327,35921420.53598756
canada,2021Q3,16,12483.0,242.0,CA,CAN,2021,93.93710327,35921420.53598756
canada,2021Q4,50,239551.0,778.5,CA,CAN,2021,93.93710327,35921420.53598756
canada,2022Q1,87,260704.0,738.0,CA,CAN,2022,94.0,36613124.08
canada,2022Q2,58,130371.0,660.0,CA,CAN,2022,94.0,36613124.08
canada,2022Q3,25,98576.0,739.0,CA,CAN,2022,94.0,36613124.08
canada,2022Q4,36,125886.0,772.5,CA,CAN,2022,94.0,36613124.08
canada,2023Q1,64,267574.0,725.5,CA,CAN,2023,94.14530182,37704334.773757406
canada,2023Q2,54,114244.0,601.5,CA,CAN,2023,94.14530182,37704334.773757406
canada,2023Q3,43,108666.0,868.0,CA,CAN,2023,94.14530182,37704334.773757406
canada,2023Q4,56,1096894.0,897.0,CA,CAN,2023,94.14530182,37704334.773757406
canada,2024Q1,49,101354.0,1014.0,CA,CAN,2024,94.353302,38932369.89360358
canada,2024Q2,78,215379.0,809.5,CA,CAN,2024,94.353302,38932369.89360358
canada,2024Q3,48,103363.0,720.5,CA,CAN,2024,94.353302,38932369.89360358
canada,2024Q4,56,164231.0,827.5,CA,CAN,2024,94.353302,38932369.89360358
canada,2025Q1,15,470568.0,804.0,CA,CAN,2025,94.353302,38932369.89360358
changeorg_au,2022Q1,2957,2468828.0,4.0,AU,,2022,,
changeorg_au,2022Q2,3013,1483404.0,4.0,AU,,2022,,
changeorg_au,2022Q3,2704,1436877.0,5.5,AU,,2022,,
changeorg_au,2022Q4,2331,1429313.0,4.0,AU,,2022,,
changeorg_au,2023Q1,2783,1619913.0,3.0,AU,,2023,,
changeorg_au,2023Q2,2605,1452784.0,4.0,AU,,2023,,
changeorg_au,2023Q3,2332,1377594.0,6.0,AU,,2023,,
changeorg_au,2023Q4,2634,1501128.0,4.0,AU,,2023,,
changeorg_au,2024Q1,2905,1913600.0,5.0,AU,,2024,,
changeorg_au,2024Q2,2985,1326796.0,4.0,AU,,2024,,
changeorg_au,2024Q3,2707,1054545.0,5.0,AU,,2024,,
changeorg_au,2024Q4,2644,815068.0,4.0,AU,,2024,,
changeorg_other,2022Q1,17402,9779522.0,2.0,PH,,2022,,
changeorg_other,2022Q2,19850,7642686.0,1.0,PH,,2022,,
changeorg_other,2022Q3,11184,4345757.0,2.0,PH,,2022,,
changeorg_other,2022Q4,21049,5727448.0,1.0,PH,,2022,,
changeorg_other,2023Q1,16456,5252947.0,1.0,PH,,2023,,
changeorg_other,2023Q2,19643,4476265.0,1.0,PH,,2023,,
changeorg_other,2023Q3,7754,3669182.0,2.0,PH,,2023,,
changeorg_other,2023Q4,20304,4485186.0,1.0,PH,,2023,,
