topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39
like,school,eu,students,children,law,animals,health,people,plastic,ukraine,nhs,election,park,uk,family,road,game,women,pay,dog,rights,covid,change,tax,community,education,day,stop,year,help,petition,want,police,food,vote,public,government,johnny,free
just,high,referendum,student,child,justice,animal,mental,young,water,war,staff,general,parking,citizens,care,speed,games,men,work,dogs,human,vaccine,climate,income,city,schools,holiday,bullying,years,need,sign,don't,officers,energy,voting,bbc,british,depp,products
make,kids,leave,university,parents,court,cruelty,issues,country,waste,russia,workers,prime,car,british,home,traffic,football,gender,wage,owners,right,pandemic,earth,council,local,teachers,bank,money,age,save,bring,don,force,prices,referendum,media,country,amber,bus
know,teachers,brexit,exams,parent,abuse,testing,services,homeless,use,russian,patients,minister,parks,countries,life,roads,play,abortion,workers,pet,iran,virus,world,money,council,curriculum,time,needs,old,support,signing,really,officer,gas,scotland,transport,canada,heard,travel
it's,schools,voted,online,families,crime,abuse,physical,disabled,environment,putin,service,party,skate,foreign,families,drivers,players,girls,paid,cats,freedom,cases,make,payers,residents,sex,days,need,young,money,let,wear,crime,price,scottish,social,national,disney,meals
time,district,deal,classes,abuse,prison,humans,care,live,bags,world,care,boris,city,scotland,friends,driving,team,woman,working,pets,discrimination,online,trees,taxes,new,secondary,national,killing,olds,needs,support,pakistan,black,fuel,elections,tv,support,movie,prescriptions
think,middle,remain,class,kids,death,fireworks,illness,lives,pollution,ukrainian,treatment,country,area,visa,mother,vehicles,fans,violence,minimum,owner,islamic,mask,planet,paying,area,skills,celebrate,bullied,exams,helping,thank,let,service,companies,parliament,service,current,jack,make
don't,wear,result,learning,support,sexual,pets,depression,lot,ban,nato,nurses,johnson,spaces,aid,members,car,league,sexual,money,cat,act,risk,global,vat,housing,taught,week,media,pension,better,signatures,dont,forces,cost,right,services,funding,pirates,sanitary
kids,dress,article,campus,adults,victims,cats,support,lgbtq,earth,military,services,parliament,space,allow,homes,cars,playing,equality,job,breed,basic,masks,carbon,pay,development,teaching,holidays,stopped,new,homeless,share,khan,armed,oil,mps,use,act,sparrow,period
good,parents,european,college,protect,life,ban,problems,iran,recycling,invasion,hospital,pm,skatepark,ban,loved,limit,club,women's,hours,stray,world,vaccinated,warming,rate,support,learning,hours,using,cancer,signing,agree,imran,policing,electricity,confidence,fireworks,united,caribbean,tv
let,lunch,second,exam,age,criminal,pet,suicide,black,plastics,peace,healthcare,leader,residents,eu,hospital,safety,season,equal,benefits,dangerous,equal,test,environment,fuel,property,teach,work,companies,months,trying,petitions,freedom,department,bills,votes,mps,state,aquaman,access
love,board,union,teachers,fathers,sentence,save,social,society,ocean,sanctions,hospitals,conservative,cars,immigration,father,drive,new,dress,employees,act,regime,workers,changes,taxed,building,young,monday,it's,time,awareness,mr,money,protect,increase,independence,licence,action,captain,speech
really,elementary,leaving,semester,young,state,welfare,anxiety,living,air,countries,lives,political,lot,country,support,accidents,player,female,time,puppy,iranian,spread,fossil,payer,land,learn,weekend,going,test,raise,server,right,streets,costs,democracy,private,britain,domestic,afford
things,teacher,majority,grades,children's,crimes,wild,patients,poor,bottles,country,funding,elected,street,citizenship,social,lane,sports,male,wages,meat,lgbtq,lockdown,dress,allowance,town,funding,christmas,end,future,life,save,say,security,high,future,sector,aid,abuse,charge
feel,bus,parliament,universities,safe,child,zoos,medical,discrimination,reduce,president,doctors,resign,play,european,living,cyclists,bring,man,employed,breeding,equality,vaccination,changed,benefits,county,compulsory,st,making,exam,thank,come,country,riots,afford,olds,ban,citizens,movies,transport
