month,petitions,authors,new_share
2022-01,56116,53875,0.9600648656354693
2022-02,54845,52578,0.9490928981675631
2022-03,56874,54038,0.9351900692759433
2022-04,53345,50774,0.9347267785171993
2022-05,58212,55319,0.9298254655397512
2022-06,44829,42645,0.9248700617903589
2022-07,42108,40006,0.9219388239764416
2022-08,40204,38366,0.9229429907471893
2022-09,40431,38704,0.925750043283619
2022-10,50611,47898,0.9186738060895853
2022-11,51411,45615,0.86477602069596
2022-12,37322,35331,0.9081238947537645
2023-01,45003,42303,0.9022509610470413
2023-02,38782,37009,0.911505337527719
2023-03,64311,61287,0.9215064296932095
2023-04,41697,39408,0.9009760894069118
2023-05,48996,44800,0.8736019266878929
2023-06,36323,33663,0.8763318007873799
2023-07,29052,27405,0.8839322593969434
2023-08,29542,27765,0.8787827499830749
2023-09,31733,29849,0.8840323952982699
2023-10,43329,40766,0.8922199912298923
2023-11,43456,39258,0.8551638438880707
2023-12,34264,31385,0.860144758346953
2024-01,50414,46336,0.8757686356964335
2024-02,38798,36364,0.8806381772256302
2024-03,38396,35740,0.8736847588290447
2024-04,40438,36465,0.8516494386468173
2024-05,39907,36738,0.8663642969905029
2024-06,29893,28275,0.8848894389990968
2024-07,31615,29758,0.8764510517159576
2024-08,33030,31170,0.8825007568876778
2024-09,29829,28054,0.8692882765094371
2024-10,41679,37104,0.8405911850092372
2024-11,42498,38553,0.85429902583651
2024-12,28139,26031,0.8537616830733146
